Date;PX_LAST;Returns;PX_OPEN;PX_HIGH;PX_LOW;VOLUME;VWAP;VIX;PX_ASK;PX_BID;SPREAD;HIST_CALL_IMP_VOL;VOLATILITY_30D;VOLATILITY_60D;VOLATILITY_90D;Mkt-RF;SMB;HML;RMW;CMA;RF;Price Earnings Ratio (P/E);BEst P/E Ratio;Price/Cash Flow
16.11.2023;189.71;0.009042072;189.570;190.960;188.650;54412915;189.7155;14.32;189.77;189.76;0.01;18.331;18.275;20.881;21.404;-0.11;-1.5;-0.3;-0.45;-0.37;0.021;31;28.86;27.05
17.11.2023;189.69;-0.000105424;190.250;190.380;188.570;50941404;189.6035;13.8;189.74;189.72;0.02;18.011;18.188;20.742;21.403;0.25;1.22;0.62;0.03;0.36;0.021;31;28.85;27.05
20.11.2023;191.45;0.009278296;189.890;191.905;189.880;46538614;191.3026;13.41;191.51;191.49;0.02;17.047;18.234;20.749;21.257;0.73;-0.11;-0.28;-0.3;-0.31;0.021;31.28;29.09;27.3
21.11.2023;190.64;-0.00423087;191.410;191.520;189.740;38134485;190.5187;13.35;190.65;190.64;0.01;16.925;18.259;20.306;21.268;-0.32;-0.96;-0.62;0.42;-0.03;0.021;31.15;28.9;27.18
22.11.2023;191.31;0.003514478;191.490;192.930;190.825;39630011;191.7188;12.85;191.31;191.3;0.01;16.865;18.241;19.934;21.241;0.42;0.19;-0.04;-0.38;0.01;0.021;31.26;29;27.28
24.11.2023;189.97;-0.007004339;190.870;190.900;189.250;24048344;189.7937;12.46;189.99;189.98;0.01;16.934;18.059;19.993;21.205;0.11;0.63;0.18;-0.51;0.23;0.021;31.04;28.8;27.09
27.11.2023;189.79;-0.000947518;189.920;190.670;188.900;40552609;189.801;12.69;189.78;189.77;0.01;16.853;18.063;19.916;21.18;-0.23;-0.14;-0.08;0.13;-0.25;0.021;31.01;28.77;27.06
28.11.2023;190.4;0.003214079;189.780;191.080;189.400;38415419;190.1749;12.69;190.39;190.38;0.01;16.547;17.745;19.926;21.174;0.06;-0.3;0.05;-0.16;0.03;0.021;31.11;28.87;27.15
29.11.2023;189.37;-0.005409664;190.900;192.090;188.970;43014224;190.0624;12.98;189.36;189.35;0.01;17.096;17.651;18.382;21.178;0.01;0.58;0.69;-0.76;-0.06;0.021;30.94;28.71;27
30.11.2023;189.95;0.003062787;189.840;190.320;188.190;48794366;189.3698;12.92;189.98;189.94;0.04;16.872;17.591;17.212;21.17;0.35;-0.4;0.01;-0.11;0.18;0.021;31.04;28.8;27.08
01.12.2023;191.24;0.006791261;190.330;191.560;189.230;45704823;190.8263;12.63;191.27;191.24;0.03;16.756;16.759;17.246;21.175;0.82;2.23;1.07;-0.37;0.57;0.021;31.25;29.02;27.27
04.12.2023;189.43;-0.009464547;189.980;190.050;187.451;43389519;188.9318;13.08;189.46;189.44;0.02;17.13;17.189;17.351;21.104;-0.44;1.51;0.5;-0.44;0.77;0.021;30.95;28.75;27.01
05.12.2023;193.42;0.02106319;190.210;194.400;190.180;66628398;193.1798;12.85;193.51;193.49;0.02;17.293;17.987;17.407;21.406;-0.21;-1.05;-0.85;0.18;-0.41;0.021;31.6;29.35;27.58
06.12.2023;192.32;-0.005687106;194.450;194.760;192.110;41089737;192.7875;12.97;192.33;192.32;0.01;17.196;17.427;17.239;21.415;-0.39;0.36;0.33;-0.22;0.27;0.021;31.42;29.19;27.42
07.12.2023;194.27;0.010139351;193.630;195.000;193.590;47477655;194.3942;13.06;194.24;194.21;0.03;17.008;15.013;17.266;21.319;0.81;0.09;0.49;0.08;-0.19;0.021;31.74;29.48;27.7
08.12.2023;195.71;0.007412364;194.200;195.990;193.670;53406358;195.1838;12.35;195.72;195.69;0.03;16.405;15.005;17.26;21.316;0.45;0.16;0.53;-0.13;-0.08;0.021;31.98;29.7;27.9
11.12.2023;193.18;-0.01292729;193.110;193.490;191.420;60943699;192.7471;12.63;193.2;193.19;0.01;16.941;15.792;17.242;19.668;0.35;-0.44;-0.12;0.02;0.64;0.021;31.57;29.32;27.54
12.12.2023;194.71;0.007920075;193.080;194.720;191.721;52696900;193.8008;12.07;194.67;194.66;0.01;16.276;15.82;17.267;19.455;0.34;-0.64;-0.89;-0.37;-0.22;0.021;31.82;29.55;27.76
13.12.2023;197.96;0.01669149;195.090;198.000;194.850;70404183;196.9462;12.19;197.89;197.87;0.02;16.017;15.665;16.925;19.624;1.55;1.92;1.35;-0.99;0.17;0.021;32.35;30.09;28.22
14.12.2023;198.11;0.000757729;198.020;199.620;196.160;66831572;198.286;12.48;198.16;198.14;0.02;16.552;14.885;16.765;19.546;0.51;1.84;2.03;0.03;0.38;0.021;32.37;30.11;28.25
15.12.2023;197.57;-0.002725758;197.530;198.400;197.000;128538401;197.5528;12.28;197.13;197.12;0.01;16.336;14.764;16.786;19.554;-0.06;-0.59;-0.57;0.14;-0.35;0.021;32.28;30.03;28.17
18.12.2023;195.89;-0.008503315;196.090;196.630;194.390;55751861;195.5556;12.56;195.88;195.86;0.02;16.429;14.834;16.893;19.621;0.42;-0.51;-0.36;0.35;-0.24;0.021;32.01;29.77;27.93
19.12.2023;196.94;0.005360151;196.160;196.950;195.890;40714051;196.5465;12.53;196.93;196.92;0.01;16.746;14.438;16.006;19.583;0.72;1.51;0.68;-0.38;0.05;0.021;32.18;29.93;28.08
20.12.2023;194.83;-0.010713923;196.900;197.680;194.830;52242815;196.1076;13.67;194.85;194.84;0.01;21.136;14.955;16.068;19.574;-1.56;-0.35;0.15;0.76;0.09;0.021;31.83;29.61;27.78
21.12.2023;194.68;-0.000769902;196.100;197.080;193.500;46482549;194.7392;13.65;194.7;194.68;0.02;21.434;14.91;16.08;19.549;1.09;0.74;-0.02;-0.57;-0.17;0.021;31.81;29.59;27.76
22.12.2023;193.6;-0.005547565;195.180;195.410;192.970;37149570;194.0865;13.03;193.66;193.53;0.13;21.913;13.809;16.162;19.393;0.2;0.61;0.1;-0.65;0.2;0.021;31.63;29.42;27.6
26.12.2023;193.05;-0.002840909;193.610;193.890;192.830;28919310;193.1671;12.99;193.06;193.04;0.02;21.538;13.528;15.966;19.404;0.48;0.83;0.43;-0.33;-0.16;0.021;31.54;29.33;27.52
27.12.2023;193.15;0.000518001;192.490;193.500;191.090;48087681;192.568;12.43;193.2;193.18;0.02;21.547;12.945;15.837;19.37;0.16;0.17;0.1;-0.32;-0.14;0.021;31.56;29.35;27.54
28.12.2023;193.58;0.002226249;194.140;194.660;193.170;34049898;193.9147;12.47;193.58;193.57;0.01;21.024;12.936;15.796;19.336;-0.01;-0.38;0.02;-0.32;0.15;0.021;31.63;29.41;27.6
29.12.2023;192.53;-0.005424114;193.900;194.400;191.725;42672148;192.5794;12.45;192.54;192.49;0.05;20.954;12.83;15.827;19.031;-0.43;-1.14;-0.36;0.69;-0.06;0.021;29.99;29.26;25.86
02.01.2024;185.64;-0.035786631;187.150;188.440;183.885;82488674;185.8682;13.2;185.53;185.52;0.01;22.155;16.945;17.489;19.519;-0.7;-0.26;0.79;0.66;0.64;0.022;28.92;28.14;24.93
03.01.2024;184.25;-0.00748761;184.220;185.880;183.430;58414460;184.3166;14.04;184.25;184.24;0.01;21.918;16.77;17.496;19.456;-1.01;-1.92;-0.14;0.35;-0.18;0.022;28.7;27.93;24.74
04.01.2024;181.91;-0.012700136;182.150;183.087;180.880;71983570;182.0056;14.13;181.92;181.91;0.01;22.702;17.1;17.7;19.529;-0.33;0.24;0.09;-0.43;0.24;0.022;28.33;27.57;24.43
05.01.2024;181.18;-0.004012973;181.990;182.760;180.170;62379661;181.4614;13.35;181.19;181.17;0.02;22.616;17.039;17.649;19.184;0.15;-0.59;0.65;0.11;-0.15;0.022;28.22;27.46;24.33
